id;creation_date;image;image_content_type
1;2019-10-07T13:37:44;../fake-data/blob/hipster.png;image/png
2;2019-10-08T09:28:11;../fake-data/blob/hipster.png;image/png
3;2019-10-07T14:53:30;../fake-data/blob/hipster.png;image/png
4;2019-10-08T02:25:22;../fake-data/blob/hipster.png;image/png
5;2019-10-07T18:35:39;../fake-data/blob/hipster.png;image/png
6;2019-10-07T11:57:43;../fake-data/blob/hipster.png;image/png
7;2019-10-07T21:05:58;../fake-data/blob/hipster.png;image/png
8;2019-10-07T16:40:30;../fake-data/blob/hipster.png;image/png
9;2019-10-08T08:13:56;../fake-data/blob/hipster.png;image/png
10;2019-10-08T03:33:59;../fake-data/blob/hipster.png;image/png
