id;creation_date;url_vanswer;accepted;appuser_id;vquestion_id
1;2019-10-08T08:49:30;Borders Manager;true;1;1
2;2019-10-08T04:44:12;orange Soap;true;2;2
3;2019-10-07T21:40:16;models Soft AI;false;3;3
4;2019-10-07T18:37:21;viral;true;4;4
5;2019-10-08T00:22:52;hacking interface;true;5;5
6;2019-10-07T11:11:19;Inverse;false;6;6
7;2019-10-07T22:46:05;Jewelery logistical;true;7;7
8;2019-10-07T17:58:37;sky blue;true;8;8
9;2019-10-08T05:09:19;Sports;false;9;9
10;2019-10-07T19:13:01;indigo Tasty Steel Shoes transform;false;10;10
