id;creation_date;message_text;is_delivered
1;2019-10-07T19:17:57;Borders EXE payment;false
2;2019-10-07T19:32:21;Web;true
3;2019-10-08T09:41:00;New York Data North Dakota;false
4;2019-10-07T20:33:32;Granite haptic;true
5;2019-10-07T11:43:29;revolutionize Branding;true
6;2019-10-08T05:21:33;analyzing;false
7;2019-10-08T07:54:03;Books Generic;true
8;2019-10-08T02:14:32;withdrawal;false
9;2019-10-07T14:02:34;Garden open-source hybrid;false
10;2019-10-07T17:41:25;extensible Accountability Handmade Cotton Bacon;true
